RANK,SAB,TTY,SUPPRESS
0916,RXNORM,SCD,N
0915,RXNORM,SBD,N
0914,RXNORM,SCDG,N
0913,RXNORM,SCDGP,N
0912,RXNORM,SBDG,N
0911,RXNORM,BPCK,N
0910,RXNORM,GPCK,N
0909,RXNORM,IN,N
0908,RXNORM,PSN,N
0907,RXNORM,MIN,N
0906,RXNORM,SCDF,N
0905,RXNORM,SCDFP,N
0904,RXNORM,SBDF,N
0903,RXNORM,SBDFP,N
0902,RXNORM,SCDC,N
0901,RXNORM,DFG,N
0900,RXNORM,DF,N
0899,RXNORM,SBDC,N
0898,RXNORM,BN,N
0897,RXNORM,PIN,N
0896,RXNORM,TMSY,N
0895,RXNORM,SY,N
0894,MTH,PN,N
0893,MTHCMSFRF,PT,N
0892,MSH,MH,N
0891,MSH,TQ,N
0890,MSH,PEP,N
0889,MSH,ET,N
0888,MSH,XQ,N
0887,MSH,PXQ,N
0886,MSH,NM,N
0885,SNOMEDCT_US,PT,N
0884,SNOMEDCT_US,FN,N
0883,SNOMEDCT_US,SY,N
0882,SNOMEDCT_US,PTGB,N
0881,SNOMEDCT_US,SYGB,N
0880,SNOMEDCT_US,MTH_PT,N
0879,SNOMEDCT_US,MTH_FN,N
0878,SNOMEDCT_US,MTH_SY,N
0877,SNOMEDCT_US,MTH_PTGB,N
0876,SNOMEDCT_US,MTH_SYGB,N
0875,SNOMEDCT_US,SB,N
0874,SNOMEDCT_US,XM,N
0873,SNOMEDCT_VET,PT,N
0872,SNOMEDCT_VET,FN,N
0871,SNOMEDCT_VET,SY,N
0870,SNOMEDCT_VET,SB,N
0869,HPO,PT,N
0868,HPO,SY,N
0867,HPO,ET,N
0866,NCBI,SCN,N
0865,MTHSPL,MTH_RXN_DP,N
0864,MTHSPL,DP,N
0863,MTHSPL,SU,N
0862,ATC,RXN_PT,N
0861,ATC,PT,N
0860,VANDF,PT,N
0859,VANDF,CD,N
0858,VANDF,IN,N
0857,USP,CD,N
0856,USP,IN,N
0855,USPMG,HC,N
0854,USPMG,PT,N
0853,MMX,MTH_RXN_CD,N
0852,MMX,MTH_RXN_BD,N
0851,MMX,CD,N
0850,MMX,BD,N
0849,DRUGBANK,IN,N
0848,DRUGBANK,SY,N
0847,DRUGBANK,FSY,N
0846,MSH,N1,N
0845,MSH,PCE,N
0844,MSH,CE,N
0843,CPM,PT,N
0842,NEU,PT,N
0841,NEU,SY,N
0840,FMA,PT,N
0839,FMA,SY,N
0838,FMA,AB,Y
0837,UWDA,PT,N
0836,UWDA,SY,N
0835,UMD,PT,N
0834,UMD,SY,N
0833,UMD,ET,N
0832,UMD,RT,N
0831,GS,CD,N
0830,MMSL,CD,N
0829,GS,MTH_RXN_BD,N
0828,GS,BD,N
0827,GS,IN,N
0826,MMSL,MTH_RXN_BD,N
0825,MMSL,BD,N
0824,MMSL,SC,N
0823,MMSL,MS,N
0822,MMSL,GN,N
0821,MMSL,BN,N
0820,ATC,RXN_IN,N
0819,ATC,IN,N
0818,MMSL,IN,N
0817,VANDF,AB,N
0816,GS,MTH_RXN_CD,N
0815,VANDF,MTH_RXN_CD,N
0814,NDDF,MTH_RXN_CDC,N
0813,NDDF,CDC,N
0812,NDDF,CDD,N
0811,NDDF,CDA,N
0810,NDDF,IN,N
0809,NDDF,DF,N
0808,MED-RT,PT,N
0807,MED-RT,FN,N
0806,MED-RT,SY,N
0805,SPN,PT,N
0804,MDR,PT,N
0803,MDR,MTH_PT,N
0802,MDR,HG,N
0801,MDR,MTH_HG,N
0800,MDR,HT,N
0799,MDR,MTH_HT,N
0798,MDR,LLT,N
0797,MDR,MTH_LLT,N
0796,MDR,SMQ,N
0795,MDR,MTH_SMQ,N
0794,MDR,OS,N
0793,MDR,AB,Y
0792,CPT,PT,N
0791,CPT,SY,N
0790,CPT,ETCLIN,N
0789,CPT,POS,N
